DOMAIN (L0),Code,SUB DOMAIN (L1),Code,CATEGORY (L2),Code,SUBCATEGORY (L3),Code,PRODUCT TYPE (L4),Product type Enum Codes,Colour,Size,Qty,Brand Name,MRP,Selling Price,Short Product Description,SKU Code,Pack Qty,Pack Qty Unit of Measurement,Material / Content,Manufacturer Name & Address,Country of Origin,Customer Care Contact,Care Instructions,Time to ship,Cancellable (Y/N),Returnable (Y/N),Replaceable (Y/N),COD Available (Y/N),Image 1,Image 2,Image 3,Image 4 / Video 1,Image 5 / Video 2,Gross Weight,Gross Weight Unit of Measurement,Length x Breadth x Height (Cubic Cm.),Fragile (Y/N),Liquid (Y/N),Hazardous (Y/N),GTIN / HSN / EAN,Gender,Concern,Ingredient,Conscious,Pack Size,Preference,Formulation,Skin Type,Age Group,Occasion,Fragrance Family,Hair Type,Benefit,Warranty,Jewellery Type,Pattern,Extension Type,Extension Colour,Finish,Coverage,Skin Tone,SPF,Bristle Type,Brush Type,Flavour
Retail,RET,Beauty & Personal Care,RET-13,Hair Care,RET-13-13,Hair Color,RET-13-13-10,Developers,RET-13-13-10-12,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,OI,OI,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Hair Care,RET-13-13,Hair Color,RET-13-13-10,Hair Bleach,RET-13-13-10-13,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,OI,OI,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Hair Care,RET-13-13,Hair Color,RET-13-13-10,Hair Chalks,RET-13-13-10-14,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,OI,OI,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Hair Care,RET-13-13,Hair Color,RET-13-13-10,Hair Colour Removers,RET-13-13-10-15,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,OI,OI,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Hair Care,RET-13-13,Hair Color,RET-13-13-10,Hennas,RET-13-13-10-16,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,OI,OI,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Hair Care,RET-13-13,Hair Color,RET-13-13-10,Hair Mascaras & Root Touch Ups,RET-13-13-10-17,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,OI,OI,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Hair Care,RET-13-13,Hair Color,RET-13-13-10,Hair Colouring Tools,RET-13-13-10-18,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,OI,OI,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Hair Care,RET-13-13,Hair Color,RET-13-13-10,Highlight Kits,RET-13-13-10-19,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,OI,OI,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Hair Care,RET-13-13,Hair Color,RET-13-13-10,Permanent Colour,RET-13-13-10-1A,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,OI,OI,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Hair Care,RET-13-13,Hair Color,RET-13-13-10,Semi-Permanent Colour,RET-13-13-10-1B,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,OI,OI,,,,,,,,,,,,
