DOMAIN (L0),SUB DOMAIN (L1),CATEGORY (L2),SUBCATEGORY (L3),PRODUCT TYPE (L4),Suggestive Enums,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Retail,Beauty & Personal Care,Hair Care,Hair Styling,Hair Lotions & Tonics,Bio Hair Growth,Active Hair Regrowth Formula,Hair Loss Protection For Women ,Hair Loss Protection For Girls ,Hair Loss Protection For Mens ,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling,Waxes,Hair Removal Wax For Women,Hair Removal Wax For Men,Hair Removal Wax For Girls,Eyebrow Hair Removal ,Full Body Waxing Kit For Dry Skin,Wax Hair Removal For Women ,Wax Hair Removal For Girls,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling,Clays,Hair Styling Clay Wax For Extra Hold,Strong Hold Natural Finish,Safe For Hair No Harmful Chemicals,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling,Foams,Hair Styling Foam,Hair Styling Foam For Women,Hair Foam For Mem,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling,Oils,Oils For Hair,Oils For Hair Growth,Hair Growth Oils For Women,Hair Growth Oils For Men,Hair Growth Oils For Girls,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling,Pomades,Hair Pomades,Pomades For Men ,Pomade for Men Classic Hair Styling, Butter Hair Dressing Pomade,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling,Putties,Hair Styling Putties,"Hair Styling Putties for Women 
",Hair Styling Putties for Men,"Hair Styling Putties for Girls
", Easy Styling ,Mat Finish Hair Wax For Men,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling,Root Lifting Powders,Hair Powder For Men ,Hair Powder For Women ,Hair Volume Spray For Men,Serum For Hair Smoothing,Hair Serum Men ,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling,Salt Water Sprays,Hair Spray For Men Extreme Hold,Quick Hair Styling,Salt Water Spray For Hair,Sea Salt Spray for Hair,Salt Water Spray For Women Hair,Salt Water Spray For Men Hair,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling,Thermal Protector Sprays,Thermal Protection Hair Spray,Thermal Heat Protection Hair Spray,Professional Trilliant Heat Protection Hair Spray,Thermal Protectant For Hair,Volumizing Hair Setting & Styling Spray With Sparkling Shine,Smooth Heat Protection Spray For Hair,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling,Hair Fragrances,Hair Fragrance Spray For Men,Beard Perfume Spray For Men,Hair Spray For Men,Hair Spray For Women,,,,,,,,,,,
Retail,Beauty & Personal Care,Make Up,Nail Care & Art,Dip Manicure,Dip Powder Nail Kit,Nail Dip Kit Starter,Nails Art Manicure,,,,,,,,,,,,
Retail,Beauty & Personal Care,Make Up,Nail Care & Art,False Nails & Applications Kits,Artificial Reusable False Nails Kit,False Nails For Women Girls,Fake Nail Short Nails Long Nails,,,,,,,,,,,,
