DOMAIN (L0),SUB DOMAIN (L1),CATEGORY (L2),SUBCATEGORY (L3),PRODUCT TYPE (L4),Suggestive Enums,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Retail,Fashion,Infants Apparel,Infant's Wear,Innerwear & Sleepwear,Innerwear Men,Innerwear For Women,Innerwear For Women Winter Wear,Innerwear For Girls,Above Knee Innerwear,Net V Neck Sleepwear Dress,Sleepwear Innerwear Bra With Panty Set,Sleepwear Bottom,Inner Wear For Ladies Daily Use Night Bra,,,,,,
Retail,Fashion,Infant Care & Accessories,Infant Care & Accessories,Baby Carriers,,,,,,,,,,,,,,,
Retail,Fashion,Infant Care & Accessories,Infant Care & Accessories,Baby Pillows,,,,,,,,,,,,,,,
Retail,Fashion,Infant Care & Accessories,Infant Care & Accessories,Baby Utensils,,,,,,,,,,,,,,,
Retail,Fashion,Infant Care & Accessories,Infant Care & Accessories,Bottle Cleaners,,,,,,,,,,,,,,,
Retail,Fashion,Infant Care & Accessories,Infant Care & Accessories,Cradles,,,,,,,,,,,,,,,
Retail,Fashion,Infant Care & Accessories,Infant Care & Accessories,Diaper Bags,,,,,,,,,,,,,,,
Retail,Fashion,Infant Care & Accessories,Infant Care & Accessories,Photoshoot Props,,,,,,,,,,,,,,,
Retail,Fashion,Infant Care & Accessories,Infant Care & Accessories,Shower Caps,,,,,,,,,,,,,,,
Retail,Fashion,Infant Care & Accessories,Infant Care & Accessories,Sleeping Bags,,,,,,,,,,,,,,,
Retail,Fashion,Infants,Infant Feeding & Nursing Essentials,Feeding Essentials,,,,,,,,,,,,,,,
Retail,Fashion,Infants,Infant Feeding & Nursing Essentials,Bibs & Burp Cloths,,,,,,,,,,,,,,,
Retail,Fashion,Infants,Infant Feeding & Nursing Essentials,Feeding Bottles,,,,,,,,,,,,,,,
Retail,Fashion,Infants,Infant Feeding & Nursing Essentials,Muslins,Muslins For Babies,Muslins Cloth,New Born Muslins,Muslin Cotton Swaddle Wrap,Muslin Baby Swaddle Set,New Born Face Towel,Baby Muslin Swaddle,Plain Muslin Squares,,,,,,,
Retail,Fashion,Infants,Infant Feeding & Nursing Essentials,Soothers & Pacifiers,,,,,,,,,,,,,,,
