L3	L4	product_name	L2
Indian & Fusion Wear	Sarees	Women Navy Blue & Gold Ethnic Motifs Zari Silk Cotton Banarasi Saree	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Women Maroon Ethnic Motifs Regular Kurta with Palazzos & With Dupatta	Women's Apparel
Indian & Fusion Wear	Sarees	Cream-Coloured & Green Floral Organza Banarasi Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Burgundy & Gold-Toned Sequinned Silk Blend Saree	Women's Apparel
Indian & Fusion Wear	Kurtas, Kurta Sets & Suits	Women Navy Blue Floral Embroidered Kurta with Trousers & With Dupatta	Women's Apparel
Indian & Fusion Wear	Sarees	Green Ethnic Motifs Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Lime Green & Orange Floral Satin Saree	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Women Pack Of 2 Ethnic Motifs Printed Flared Palazzos	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Green & Turquoise Set of 2 Blue Striped Silk Cotton Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Bandhani Art Silk Bandhani Saree	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Blue & White Embellished Mirror Work Ready to Wear Lehenga &	Women's Apparel
Indian & Fusion Wear	Sarees	Women Blue & Red Geometric Printed Poly Georgette Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Green & Silver-Toned Bandhani Zari Silk Blend Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Mustard Yellow & Orange Art Silk Solid Kanjeevaram Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Brown & Copper-Toned Woven Design Zari Art Silk Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Pink Solid Ruffles Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Green & Yellow Bandhani Embellished Poly Silk Sarees	Women's Apparel
Indian & Fusion Wear	Kurtas, Kurta Sets & Suits	Women Blue & Red Hand Dyed Marbling Pure Cotton Kurta	Women's Apparel
Indian & Fusion Wear	Sarees	Brown & Pink Ethnic Motifs Pure Cotton Block Print Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Grey Floral Embroidered Net Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Orange & Red Pure Georgette Saree	Women's Apparel
Indian & Fusion Wear	Kurtas, Kurta Sets & Suits	Women Off-White & Beige Printed Straight Kurta	Women's Apparel
Indian & Fusion Wear	Sarees	White & Beige Ethnic Motifs Saree	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Floral Print Kurta	Women's Apparel
Indian & Fusion Wear	Kurtas, Kurta Sets & Suits	Women Green Floral Embroidered Sequinned Kurta with Trousers & Dupatta	Women's Apparel
Indian & Fusion Wear	Sarees	Women Pink & Silver-Toned Floral Zari Linen Blend Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Orange & Navy Blue Ethnic Motifs Pure Georgette Fusion Dharmavaram Saree	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Floral Printed Satin Saree	Women's Apparel
Indian & Fusion Wear	Kurtas, Kurta Sets & Suits	Women Brown Embellished Gotta Patti Anarkali Kurta	Women's Apparel
Indian & Fusion Wear	Sarees	Pink Printed Organza Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Green Ethnic Motifs Woven Design Silk Cotton Chanderi Saree	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Women Pack Of 4 Printed Crepe Kurta	Women's Apparel
Indian & Fusion Wear	Sarees	Orange & Grey Tie and Dye Pure Silk Bhagalpuri Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Pack of 2 Yellow & Coral Checked Mysore Silk Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Floral Zari Silk Blend Paithani Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Green & Black Floral Printed Saree	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Pink & Gold-Toned Ethnic Motifs Brasso Block Print Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Lime Green Silk Blend Woven Design Kanjeevaram Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Woman Floral Embroidered Georgette Celebrity Saree	Women's Apparel
Indian & Fusion Wear	Kurtas, Kurta Sets & Suits	Women Grey & Silver-Toned Bandhani Printed Gotta Patti Kurta	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Women Pack Of 6 Geometric Checked Crepe Kurta	Women's Apparel
Indian & Fusion Wear	Sarees	Green & Orange Batik Jute Cotton Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Green & Red Woven Design Silk Blend Saree	Women's Apparel
Indian & Fusion Wear	Kurtas, Kurta Sets & Suits	Women Green Embroidered High Slit Silk Georgette Kurta with Sharara	Women's Apparel
Indian & Fusion Wear	Sarees	Black & Red Ethnic Motifs Print Art Silk Block Print Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Women Green & Gold-Toned Floral Zari Art Silk Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Beige & Green Floral Print Zari Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Purple Silk Blend Mysore Silk Saree	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Green & Red Linen Blend Woven Design Bhagalpuri Saree	Women's Apparel
Indian & Fusion Wear	Kurtas, Kurta Sets & Suits	Ethnic Motifs Embroidered Mirror Work Plus Size Pure Cotton Kurta Set	Women's Apparel
Indian & Fusion Wear	Sarees	Navy Blue Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Blue & Gold-Toned Woven Design Zari Pure Silk Kanjeevaram Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Grey & Green Floral Pure Georgette Saree	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Pack Of 2 Red & Green Floral Pure Georgette Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Pack of 2 Yellow & Pink Floral Pure Georgette Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Beige & Black Ethnic Motifs Pure Cotton Saree	Women's Apparel
Indian & Fusion Wear	Kurtis, Tunics & Tops	Printed Keyhole Neck Block Print Crop Top	Women's Apparel
Indian & Fusion Wear	Blouses	Women Red Embellished Readymade Saree Blouse	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Geometric Printed Jacquard Kurta	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Pink & White Linen Blend Printed Saree	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Red & Brown Solid Bhagalpuri Saree	Women's Apparel
Indian & Fusion Wear	Kurtas, Kurta Sets & Suits	Women Green Embroidered Regular Kurta with Trousers & With Dupatta	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Maroon Silk Blend Woven Design Kanjeevaram Saree	Women's Apparel
Indian & Fusion Wear	Kurtas, Kurta Sets & Suits	Women Ethnic Motifs Embroidered Sequinned Kurta With Trousers	Women's Apparel
Indian & Fusion Wear	Sarees	Green & Navy Blue Ethnic Motifs Zari Silk Cotton Banarasi Saree	Women's Apparel
Footwear	Flats	Women Ballerinas Flats	Women's Footwear
Footwear	Sports Shoes	Men Black VARSITY COMPETE TR 3 Training Shoes	Men's Footwear
Footwear	Heels	Women Pink PU Block Heels	Women's Footwear
Footwear	Flats	Women Grey Colourblocked Open Toe Flats	Women's Footwear
Footwear	Heels	Open-Toe Wedge Heels	Women's Footwear
Footwear	Heels	Women Suede Mules	Women's Footwear
Footwear	Sports Shoes	Men Black Running Shoes	Men's Footwear
Footwear	Flats	Women Pink One Toe Flats	Women's Footwear
Footwear	Heels	Women Black Solid Sandals	Women's Footwear
Footwear	Heels	Women Black Party Block Heels with Buckles	Women's Footwear
Footwear	Sports Shoes	Men Skateboarding Non-Marking Shoes	Men's Footwear
Footwear	Sports Shoes	Men Blue Textile Running Non-Marking Shoes	Men's Footwear
